loc_id:4c83d180dc018cfaeabcdb6c	loc_name:Filarmonica Arad	loc_lat:46.17570079928502	loc_lng:21.31961723338723	loc_postCode:317323	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:5032792091d4c4b30a586d5c	cat_name:Concert Hall
loc_id:4e67a224fa76f38efb332db1	loc_name:Palatul Copiilor	loc_lat:46.17663735127852	loc_lng:21.319796334810484	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4d4b7104d754a06370d81259	cat_name:Arts & Entertainment
loc_id:4fffc8d7e4b0b43584521c7c	loc_name:Ria Shop	loc_lat:46.176992	loc_lng:21.321179	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4d954b0ea243a5684a65b473	cat_name:Convenience Store
loc_id:50a00b1e498ec5d3c0622858	loc_name:Festivalul Vinului	loc_lat:46.17618942260742	loc_lng:21.321136474609375	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d14b941735	cat_name:Winery
loc_id:5023d763e4b01a8c9c0b02aa	loc_name:VIA Office	loc_lat:46.177815641460725	loc_lng:21.322480383419794	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4bf58dd8d48988d124941735	cat_name:Office
loc_id:50a4ed09e4b0682d4fae39e0	loc_name:Emra Imob Office	loc_lat:46.17845153808594	loc_lng:21.323957443237305	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d127941735	cat_name:Conference Room
loc_id:4cbfd88200d8370400ca465c	loc_name:Judecatoria Arad	loc_lat:46.176543	loc_lng:21.319135	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:NULL	cat_name:NULL
loc_id:4c1127453ce120a1e63c091c	loc_name:Boeme	loc_lat:46.17672515836412	loc_lng:21.318111419677734	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4bf58dd8d48988d121941735	cat_name:Lounge
loc_id:4e8dc543d3e3720da4010254	loc_name:Policlinica	loc_lat:46.178886008242266	loc_lng:21.321040271457438	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d196941735	cat_name:Hospital
loc_id:4e437ac7fa76eeb2dab7f784	loc_name:Gigi Covrigi Tradiționali	loc_lat:46.17801405332212	loc_lng:21.31947736548396	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4bf58dd8d48988d16a941735	cat_name:Bakery
loc_id:4fd192cbe4b08f355c83d439	loc_name:Millenium Cafe	loc_lat:46.17707809353033	loc_lng:21.321172586770523	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4bf58dd8d48988d16d941735	cat_name:Café
loc_id:4c80e33a51ada1cde93b0d10	loc_name:Cabinet Avocat Catalin Mihalache	loc_lat:46.176720233333334	loc_lng:21.320581725	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4bf58dd8d48988d174941735	cat_name:Coworking Space
